city,years,area,rooms,floor,building_type,heating_type,installation,price
Kalvarijos m.,1990,54,2,1,Centriniskolektorinis,Blokinis,Įrengtas,28000
Vilniaus m.,2004,39,1,2,Centriniskolektorinis,Mūrinis,Įrengtas,83000
Alytaus m.,1996,"35,83",1,8,Centrinis,Blokinis,Įrengtas,34000
Vilniaus m.,1969,"46,80",2,2,Centrinis,Blokinis,Įrengtas,84000
Panevėžio m.,1970,"48,83",2,1,Centrinis,Mūrinis,Įrengtas,53000
Klaipėdos m.,1980,44,2,4,Centrinis,Mūrinis,Įrengtas,60000
Klaipėdos m.,1981,"58,33",3,4,Centrinis,Mūrinis,Įrengtas,82000
Klaipėdos m.,1974,"50,30",2,4,Centrinis,Mūrinis,Įrengtas,85500
Klaipėdos m.,1959,52,3,3,Centrinis,Mūrinis,Įrengtas,53000
Alytaus m.,1990,62,2,1,Centrinis,Mūrinis,Įrengtas,74000
Kėdainių m.,1976,46,1,4,Centrinis,Mūrinis,Įrengtas,18000
Kaišiadorių m.,1974,"77,71",4,1,Centrinis,Blokinis,Įrengtas,74000
Klemiškės I k.,1965,30,3,1,"Elektra,kietukuru",Mūrinis,Įrengtas,32500
Gargždų m.,1969,26,1,2,Centriniskolektorinis,Mūrinis,Įrengtas,38000
Klaipėdos m.,1985,22,1,5,Centrinis,Mūrinis,Įrengtas,44500
Klaipėdos m.,1936,50,2,2,Centriniskolektorinis,Mūrinis,Įrengtas,125000
Alytaus m.,1995,"35,33",2,5,Centrinis,Mūrinis,Įrengtas,35900
Mažeikių m.,1984,65,3,3,Centrinis,Blokinis,Įrengtas,53000
Panevėžio m.,1960,"18,57",1,1,Elektra,Karkasinis,Įrengtas,15400
Jonavos m.,1961,"41,55",2,2,Centrinis,Mūrinis,Įrengtas,40000
Kretingos m.,1976,"47,75",2,1,Centrinis,Mūrinis,Įrengtas,75000
Klaipėdos m.,1976,"33,29",1,4,"Centrinis,centriniskolektorinis",Monolitinis,Įrengtas,32000
Klaipėdos m.,1958,"32,51",2,2,Centrinis,Mūrinis,Įrengtas,17000
Šalčininkų m.,1995,78,4,3,Centrinis,Kita,Įrengtas,89000
Radviliškio m.,1970,64,3,3,Centrinis,Mūrinis,Įrengtas,65000
Panevėžio m.,1963,"43,75",2,4,Centrinis,Mūrinis,Įrengtas,45000
Klaipėdos m.,1976,78,4,1,Centrinis,Blokinis,Įrengtas,58000
Panevėžio m.,1965,"26,24",1,5,Centrinis,Mūrinis,Įrengtas,24000
Šiaulių m.,1972,2,2,1,Centrinis,Mūrinis,Įrengtas,55000
Vilniaus m.,2009,50,2,2,"Aeroterminis,centrinis,centriniskolektorinis,dujinis,elektra",Mūrinis,Įrengtas,999
Baisogalos mstl.,1968,"64,90",3,4,Centrinis,Mūrinis,Įrengtas,12000
Lazdijų m.,1974,56,3,1,Centrinis,Mūrinis,Įrengtas,38000
Klaipėdos m.,1983,70,3,5,Centrinis,Blokinis,Įrengtas,76000
Klaipėdos m.,1974,18,1,4,Centriniskolektorinis,Mūrinis,Įrengtas,15900
Klaipėdos m.,1979,"33,02",1,5,Centriniskolektorinis,Blokinis,Įrengtas,44000
Klaipėdos m.,1989,44,2,3,Centrinis,Blokinis,Įrengtas,51000
Vilniaus m.,2019,"62,20",3,3,Centrinis,Kita,Įrengtas,139000
Alytaus m.,1989,"33,84",1,2,Centrinis,Blokinis,Įrengtas,20700
Ukmergės m.,1955,"55,44",3,1,"Dujinis,kietukuru",Mūrinis,Įrengtas,44000
Plungės m.,1938,48,2,2,Kietukuru,Mūrinis,Įrengtas,26400
Jonavos m.,1988,"70,34",3,4,Centrinis,Blokinis,Įrengtas,70000
Telšių m.,1980,"33,13",1,4,Centrinis,Blokinis,Įrengtas,30000
Marijampolės m.,1992,50,2,1,Centrinis,Blokinis,Įrengtas,42000
Panevėžio m.,1979,39,2,2,Centrinis,Mūrinis,Įrengtas,30000
Suginčių k.,1989,"67,62",3,2,Centrinis,Mūrinis,Įrengtas,17500
Klaipėdos m.,2008,"38,80",1,4,Centrinis,Monolitinis,Įrengtas,95000
Panevėžio m.,1977,"33,57",2,3,Centrinis,Blokinis,Įrengtas,25000
Klaipėdos m.,1977,61,3,4,Centrinis,Blokinis,Įrengtas,59500
Šiaulių m.,1989,"36,91",1,4,Centrinis,Mūrinis,Įrengtas,43500
Klaipėdos m.,2020,89,3,3,Centriniskolektorinis,Mūrinis,Įrengtas,155000
Klaipėdos m.,1976,18,1,3,Centrinis,Mūrinis,Įrengtas,30000
Kauno m.,1969,"44,64",2,5,Centrinis,Mūrinis,Įrengtas,65000
Prienų m.,1970,47,2,4,Centrinis,Mūrinis,Įrengtas,72000
Vilniaus m.,1967,"42,19",2,1,Centrinis,Mūrinis,Įrengtas,148000
Krekenavos mstl.,1979,68,2,1,Kietukuru,Mūrinis,Įrengtas,25000
Ventos m.,1974,"47,25",2,3,Centrinis,Blokinis,Įrengtas,15500
Alytaus m.,1991,33,1,4,Centrinis,Blokinis,Įrengtas,24700
Panevėžio m.,1972,"34,49",1,1,Centrinis,Mūrinis,Įrengtas,29699
Panevėžio m.,1970,21,1,8,Centrinis,Mūrinis,Įrengtas,21000
Klaipėdos m.,2006,"83,32",3,9,Centriniskolektorinis,Blokinis,Įrengtas,140000
Alytaus m.,1982,"34,90",2,5,Centrinis,Blokinis,Įrengtas,50605
Panevėžio m.,1973,64,4,1,Centrinis,Blokinis,Įrengtas,75000
Kėdainių m.,1985,64,3,1,Centrinis,Blokinis,Įrengtas,75000
Elektrėnų m.,1983,"67,13",3,1,Centrinis,Blokinis,Įrengtas,70000
Šiaulių m.,1989,81,4,3,Dujinis,Blokinis,Įrengtas,77500
Jonavos m.,1971,"35,99",1,5,Centrinis,Blokinis,Įrengtas,34000
Telšių m.,1985,30,1,5,Centriniskolektorinis,Blokinis,Įrengtas,29000
Klaipėdos m.,1963,16,1,2,Centrinis,Mūrinis,Įrengtas,10999
Pasvalio m.,1975,"57,54",3,2,Centrinis,Mūrinis,Įrengtas,33000
Kėdainių m.,1966,"12,12",1,5,Centrinis,Mūrinis,Įrengtas,800
Obelių m.,1984,"48,81",2,2,Centrinis,Mūrinis,Įrengtas,12000
Telšių m.,1995,"51,73",2,1,Centrinis,Mūrinis,Įrengtas,52000
Klaipėdos m.,1978,56,2,3,Centrinis,Blokinis,Įrengtas,64900
Kėdainių m.,1962,42,2,4,Centrinis,Mūrinis,Įrengtas,22000
Šiaulių m.,1985,14,1,3,Centrinis,Mūrinis,Įrengtas,13950
Palangos m.,2004,220,7,1,Dujinis,Mūrinis,Įrengtas,200000
Mažeikių m.,1986,"63,76",3,5,Centrinis,Blokinis,Įrengtas,52000
Marijampolės m.,1966,"25,58",1,5,Centrinis,Mūrinis,Įrengtas,25000
Rokiškio m.,1976,"36,61",1,1,Centrinis,Blokinis,Įrengtas,21500
Varėnos m.,1959,"47,48",3,1,Centrinis,Mūrinis,Įrengtas,48500
Utenos m.,1980,70,3,4,Centrinis,Mūrinis,Įrengtas,62000
Klaipėdos m.,1960,30,1,4,Centrinis,Mūrinis,Įrengtas,37000
Visagino m.,1980,37,2,3,Centrinis,Blokinis,Įrengtas,20000
Vilniaus m.,1988,"39,88",1,4,Centrinis,Blokinis,Įrengtas,71000
Šiaulių m.,1980,"80,53",4,2,Centrinis,Blokinis,Įrengtas,82500
Klaipėdos m.,1985,33,1,5,Centrinis,Blokinis,Įrengtas,41000
Klaipėdos m.,1966,42,2,1,Centrinis,Mūrinis,Įrengtas,64000
Plungės m.,1987,"79,63",4,4,Centrinis,Mūrinis,Įrengtas,65000
Kareivonių k.,1992,68,3,1,Centrinis,Mūrinis,Įrengtas,43000
Telšių m.,1979,"65,99",3,4,Centrinis,Mūrinis,Įrengtas,65000
Kėdainių m.,1968,29,1,5,Centrinis,Mūrinis,Įrengtas,21000
Kybartų m.,1986,1,2,3,Kietukuru,Mūrinis,Įrengtas,10000
Kupiškio m.,1983,50,2,5,Centrinis,Blokinis,Įrengtas,25000
Klaipėdos m.,1978,64,3,5,Centrinis,Blokinis,Įrengtas,77000
Klaipėdos m.,1968,"12,55",1,3,Centrinis,Mūrinis,Įrengtas,10500
Kazlų Rūdos m.,1982,"65,01",3,3,Centrinis,Mūrinis,Įrengtas,34450
Klaipėdos m.,1987,54,2,4,Centrinis,Mūrinis,Įrengtas,67000
Vilniaus m.,1986,"50,05",2,5,Centrinis,Blokinis,Įrengtas,79999
