city,years,area,rooms,avg_heat_per_m,floor,building_type,heating_type,installation,price
Kaunas,1933,"144,72",5,,2,Mūrinis,"Dujinis,kietukuru",Įrengtas,215000
Kauno r. sav.,2021,78,4,,2,Mūrinis,Dujinis,Įrengtas,100543
Klaipėda,1964,42,2,,1,Mūrinis,Centriniskolektorinis,Įrengtas,62500
Vilnius,1963,45,2,,1,Blokinis,Centrinis,Įrengtas,98000
Vilnius,1939,"57,77",2,,2,Mūrinis,Centrinis,Įrengtas,199000
Vilnius,1983,50,2,"29,50",5,Mūrinis,Centrinis,Įrengtas,95000
Akmenės r. sav.,1982,"49,98",2,,5,Blokinis,Centriniskolektorinis,Įrengtas,15000
Akmenės r. sav.,1966,"40,96",2,,3,Mūrinis,Centriniskolektorinis,Įrengtas,16000
Panevėžys,1979,"66,43",3,"46,50",1,Mūrinis,Centrinis,Įrengtas,64800
Vilnius,1988,45,2,,8,Mūrinis,Centrinis,Įrengtas,67000
Druskininkų m.,2018,"68,29",4,,9,Mūrinis,Centriniskolektorinis,Įrengtas,95606
Druskininkų m.,2018,"56,27",3,,3,Mūrinis,Centriniskolektorinis,Įrengtas,84405
Druskininkų m.,2018,"59,8",3,,2,Mūrinis,Centriniskolektorinis,Įrengtas,89700
Druskininkų m.,2018,"43,91",2,,1,Mūrinis,Centriniskolektorinis,Įrengtas,65862
Vilnius,1972,"16,78",1,"8,39",0,Mūrinis,Elektra,Įrengtas,36000
Šiauliai,1987,50,2,"25,50",2,Blokinis,Centrinis,Įrengtas,57000
Vilnius,1964,57,3,"33,06",4,Blokinis,Centrinis,Įrengtas,97000
Vilniaus r. sav.,2021,47,2,,1,Mūrinis,Kita,Įrengtas,60000
Vilnius,2009,"94,32",3,"23,58",7,Mūrinis,Centriniskolektorinis,Įrengtas,360000
Vilnius,2021,"35,69",2,,2,Mūrinis,Centriniskolektorinis,Įrengtas,133000
Vilnius,1996,78,2,,4,Mūrinis,Dujinis,Įrengtas,75777
Vilnius,1974,48,3,,1,Blokinis,Centrinis,Įrengtas,89000
Vilnius,1971,48,2,,4,Blokinis,Centrinis,Įrengtas,74900
Vilnius,1953,"87,64",4,"77,12",1,Mūrinis,Centrinis,Įrengtas,167777
Vilnius,1961,30,1,"18,30",2,Mūrinis,Centrinis,Įrengtas,89500
Vilnius,2021,"43,63",2,,2,Mūrinis,Dujinis,Įrengtas,113500
Trakų m.,1960,64,3,,2,Mūrinis,Dujinis,Įrengtas,155000
Vilnius,2017,"65,76",3,,3,Mūrinis,Centriniskolektorinis,Įrengtas,235000
Kaunas,1986,50,2,,5,Blokinis,Centrinis,Įrengtas,64990
Klaipėda,1975,"51,3",2,,4,Blokinis,Centrinis,Įrengtas,64000
Vilnius,2008,"44,64",2,,9,Mūrinis,Centriniskolektorinis,Įrengtas,96900
Vilnius,2004,"46,49",2,,3,Mūrinis,Centriniskolektorinis,Įrengtas,155000
Vilnius,1983,50,2,"36,50",7,Mūrinis,Centrinis,Įrengtas,87000
Kaunas,1971,"43,93",2,,1,Blokinis,Centrinis,Įrengtas,49999
Jonavos r. sav.,1979,"51,03",2,,4,Mūrinis,Centrinis,Įrengtas,29500
Kauno r. sav.,1992,80,4,,4,Blokinis,Centriniskolektorinis,Įrengtas,99900
Vilnius,2007,36,1,,5,Monolitinis,Centriniskolektorinis,Įrengtas,76400
Klaipėda,2004,"138,15",3,,1,Mūrinis,Dujinis,Įrengtas,145000
Kaunas,1986,"97,72",3,,3,Mūrinis,"Centrinis,elektra",Įrengtas,126000
Vilnius,1971,"32,9",2,"6,58",5,Blokinis,Centrinis,Įrengtas,70000
Klaipėda,1985,49,2,,7,Blokinis,Centrinis,Įrengtas,62000
Vilnius,1989,67,3,"46,90",5,Blokinis,Centrinis,Įrengtas,124000
Vilnius,2007,"57,86",2,"28,93",2,Mūrinis,Centriniskolektorinis,Įrengtas,127000
Klaipėda,1973,35,2,,3,Mūrinis,Centrinis,Įrengtas,38000
Klaipėda,1993,92,3,,3,Mūrinis,Dujinis,Įrengtas,115000
Palanga,2015,"31,31",2,,4,Mūrinis,Centriniskolektorinis,Įrengtas,105000
Panevėžys,1930,"32,09",1,,1,Medinis,"Elektra,kietukuru",Įrengtas,37777
Klaipėda,1985,67,3,,2,Mūrinis,Centrinis,Įrengtas,65000
Šilutės r. sav.,1978,50,2,,1,Mūrinis,Kietukuru,Įrengtas,20500
Švenčionių r. sav.,1989,"64,48",3,,1,Mūrinis,"Elektra,kietukuru",Įrengtas,26000
Klaipėda,1900,"95,62",5,,2,Mūrinis,Dujinis,Įrengtas,184000
Klaipėda,1900,"95,62",5,,2,Mūrinis,Dujinis,Įrengtas,184000
Šilalės m.,1981,35,1,,5,Mūrinis,Centrinis,Įrengtas,34000
